2022-07-23 23:31:03,600 | server.py-><module>():6 | WARNING | Created Flask and Request
2022-07-23 23:31:03,600 | server.py-><module>():8 | WARNING | Imported JSON
2022-07-23 23:31:03,942 | server.py-><module>():10 | WARNING | Imported Camera
2022-07-23 23:31:07,985 | server.py-><module>():12 | WARNING | Imported Main
2022-07-23 23:31:07,985 | server.py-><module>():14 | WARNING | Imported Sys
2022-07-23 23:31:07,986 | server.py-><module>():20 | WARNING | Setup Flask
2022-07-23 23:31:07,986 | main.py->__init__():16 | WARNING | Created Main Object
2022-07-23 23:31:10,489 | main.py->__init__():20 | WARNING | Created Camera Object
2022-07-23 23:31:10,759 | main.py->__init__():23 | WARNING | Created FER Object
2022-07-23 23:31:10,762 | main.py->__init__():26 | WARNING | Created Data Object
2022-07-23 23:31:10,770 | server.py-><module>():71 | WARNING | Ready to accept
2022-07-23 23:31:10,772 | _internal.py->_log():224 | INFO |  * Running on http://127.0.0.1:5000 (Press CTRL+C to quit)
2022-07-23 23:31:11,188 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
2022-07-23 23:31:11,374 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
2022-07-23 23:31:11,547 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
2022-07-23 23:31:12,299 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
2022-07-23 23:31:12,480 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
2022-07-23 23:31:12,656 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
2022-07-23 23:31:12,860 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
2022-07-23 23:31:13,059 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
2022-07-23 23:31:13,262 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
2022-07-23 23:31:13,460 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
2022-07-23 23:31:15,065 | main.py->analyze():49 | WARNING | Empty Data List Being Sent
