,time,application,angry,disgust,fear,happy,sad,surprise
0,2022_07_23_13_56_27,Electron,0.07,0.0,0.14,0.0,0.71,0.07
1,2022_07_23_13_56_28,Electron,0.04,0.0,0.66,0.05,0.2,0.05
2,2022_07_23_13_56_28,Electron,0.02,0.0,0.04,0.45,0.48,0.0
3,2022_07_23_13_56_28,Electron,0.05,0.0,0.09,0.6,0.06,0.2
4,2022_07_23_13_56_29,Electron,0.21,0.0,0.24,0.21,0.17,0.17
5,2022_07_23_13_56_29,Electron,0.08,0.0,0.14,0.41,0.08,0.28
6,2022_07_23_13_56_29,Electron,0.14,0.0,0.16,0.36,0.27,0.07
7,2022_07_23_13_56_30,Electron,0.23,0.0,0.05,0.27,0.45,0.0
8,2022_07_23_13_56_30,Electron,0.26,0.0,0.09,0.21,0.43,0.0
9,2022_07_23_13_56_30,Electron,0.15,0.0,0.06,0.27,0.52,0.0
10,2022_07_23_13_56_31,Electron,0.12,0.0,0.07,0.2,0.59,0.01
11,2022_07_23_13_56_31,Electron,0.06,0.0,0.06,0.33,0.54,0.01
12,2022_07_23_13_56_31,Electron,0.04,0.0,0.05,0.56,0.34,0.01
13,2022_07_23_13_56_32,Electron,0.08,0.0,0.12,0.42,0.28,0.1
14,2022_07_23_13_56_33,Electron,0.07,0.0,0.14,0.25,0.16,0.39
15,2022_07_23_13_56_33,Electron,0.03,0.0,0.11,0.49,0.32,0.05
16,2022_07_23_13_56_33,Electron,0.02,0.0,0.01,0.72,0.23,0.01
17,2022_07_23_13_56_34,Electron,0.03,0.0,0.05,0.56,0.32,0.03
18,2022_07_23_13_56_34,Electron,0.05,0.0,0.04,0.61,0.26,0.04
19,2022_07_23_13_56_34,Electron,0.06,0.0,0.06,0.62,0.22,0.04
20,2022_07_23_13_56_35,Electron,0.02,0.0,0.01,0.77,0.17,0.02
21,2022_07_23_13_56_35,Electron,0.03,0.0,0.03,0.6,0.33,0.01
22,2022_07_23_13_56_35,Electron,0.02,0.0,0.02,0.8,0.14,0.02
23,2022_07_23_13_56_36,Electron,0.04,0.0,0.01,0.88,0.05,0.01
24,2022_07_23_13_56_36,Electron,0.06,0.0,0.02,0.78,0.15,0.0
25,2022_07_23_13_56_36,Electron,0.01,0.0,0.01,0.74,0.23,0.0
26,2022_07_23_13_56_37,Electron,0.08,0.0,0.06,0.56,0.22,0.08
27,2022_07_23_13_56_37,Electron,0.04,0.0,0.03,0.74,0.13,0.07
28,2022_07_23_13_56_37,Electron,0.07,0.0,0.04,0.52,0.24,0.12
29,2022_07_23_13_56_38,Electron,0.17,0.0,0.08,0.25,0.42,0.08
30,2022_07_23_13_56_38,Electron,0.08,0.0,0.06,0.62,0.2,0.03
31,2022_07_23_13_56_38,Electron,0.11,0.0,0.13,0.3,0.13,0.33
32,2022_07_23_13_56_39,Electron,0.04,0.0,0.15,0.09,0.04,0.69
33,2022_07_23_13_56_39,Electron,0.01,0.0,0.11,0.03,0.01,0.83
34,2022_07_23_13_56_39,Electron,0.08,0.0,0.21,0.12,0.1,0.48
35,2022_07_23_13_56_39,Electron,0.06,0.0,0.05,0.67,0.08,0.14
36,2022_07_23_13_56_40,Electron,0.09,0.0,0.11,0.41,0.17,0.22
37,2022_07_23_13_56_40,Electron,0.11,0.0,0.05,0.5,0.27,0.07
38,2022_07_23_13_56_40,Electron,0.21,0.0,0.17,0.21,0.3,0.11
39,2022_07_23_13_56_41,Electron,0.1,0.0,0.09,0.63,0.15,0.03
40,2022_07_23_13_56_41,Electron,0.12,0.0,0.07,0.52,0.2,0.09
41,2022_07_23_13_56_41,Electron,0.37,0.0,0.15,0.28,0.17,0.02
42,2022_07_23_13_56_42,Electron,0.56,0.0,0.07,0.24,0.13,0.0
43,2022_07_23_13_56_42,Electron,0.36,0.0,0.36,0.1,0.18,0.0
44,2022_07_23_13_56_42,Electron,0.2,0.0,0.31,0.32,0.08,0.09
45,2022_07_23_13_56_43,Electron,0.13,0.0,0.13,0.59,0.12,0.03
46,2022_07_23_13_56_44,Electron,0.07,0.0,0.04,0.64,0.21,0.04
47,2022_07_23_13_56_44,Electron,0.06,0.0,0.05,0.59,0.28,0.02
48,2022_07_23_13_56_44,Electron,0.07,0.0,0.07,0.56,0.26,0.04
49,2022_07_23_13_56_45,Electron,0.06,0.0,0.06,0.55,0.27,0.05
50,2022_07_23_13_56_45,Electron,0.04,0.0,0.06,0.63,0.26,0.01
51,2022_07_23_13_56_45,Electron,0.05,0.0,0.05,0.55,0.31,0.03
52,2022_07_23_13_56_46,Electron,0.03,0.0,0.03,0.84,0.09,0.01
53,2022_07_23_13_56_46,Electron,0.04,0.0,0.05,0.68,0.12,0.11
54,2022_07_23_13_56_46,Electron,0.05,0.0,0.08,0.53,0.13,0.21
55,2022_07_23_13_56_47,Electron,0.08,0.0,0.12,0.35,0.22,0.24
56,2022_07_23_13_56_47,Electron,0.07,0.0,0.07,0.64,0.13,0.1
57,2022_07_23_13_56_47,Electron,0.04,0.0,0.04,0.66,0.11,0.15
58,2022_07_23_13_56_48,Electron,0.04,0.0,0.04,0.67,0.08,0.18
59,2022_07_23_13_56_48,Electron,0.02,0.0,0.01,0.84,0.06,0.06
60,2022_07_23_13_56_48,Electron,0.04,0.0,0.09,0.48,0.09,0.32
61,2022_07_23_13_56_49,Electron,0.46,0.0,0.09,0.25,0.18,0.02
62,2022_07_23_13_56_49,Electron,0.12,0.0,0.0,0.38,0.5,0.0
63,2022_07_23_13_56_49,Electron,0.0,0.0,0.0,0.92,0.05,0.03
64,2022_07_23_13_56_49,Electron,0.0,0.0,0.0,1.0,0.0,0.0
65,2022_07_23_13_56_50,Electron,0.0,0.0,0.0,0.99,0.0,0.01
66,2022_07_23_13_56_50,Electron,0.0,0.0,0.0,1.0,0.0,0.0
67,2022_07_23_13_56_50,Electron,0.21,0.0,0.06,0.09,0.64,0.0
68,2022_07_23_13_56_51,Terminal,0.14,0.0,0.07,0.07,0.69,0.03
69,2022_07_23_13_56_51,Terminal,0.14,0.0,0.07,0.07,0.71,0.0
70,2022_07_23_13_56_51,Terminal,0.18,0.0,0.0,0.47,0.35,0.0
71,2022_07_23_13_56_52,Code,0.0,0.0,0.0,1.0,0.0,0.0
72,2022_07_23_13_56_52,Code,0.0,0.0,0.0,1.0,0.0,0.0
73,2022_07_23_13_56_53,Code,0.01,0.0,0.0,0.97,0.01,0.01
74,2022_07_23_13_56_53,Code,0.0,0.0,0.0,0.99,0.0,0.01
75,2022_07_23_13_56_53,Code,0.0,0.0,0.0,0.99,0.01,0.0
76,2022_07_23_13_56_54,Code,0.01,0.0,0.0,0.97,0.01,0.0
77,2022_07_23_13_56_54,Terminal,0.01,0.0,0.0,0.98,0.0,0.01
