,time,application,angry,disgust,fear,happy,sad,surprise
0,2022_07_23_23_18_26,Electron,0.09,0.0,0.18,0.0,0.55,0.18
1,2022_07_23_23_18_27,Electron,0.1,0.0,0.15,0.04,0.69,0.02
2,2022_07_23_23_18_27,Electron,0.09,0.0,0.14,0.05,0.73,0.0
3,2022_07_23_23_18_28,Electron,0.38,0.0,0.31,0.0,0.31,0.0
4,2022_07_23_23_18_28,Electron,0.47,0.0,0.05,0.0,0.47,0.0
5,2022_07_23_23_18_28,Electron,0.46,0.02,0.1,0.0,0.41,0.0
6,2022_07_23_23_18_29,Electron,0.68,0.06,0.09,0.0,0.17,0.0
7,2022_07_23_23_18_29,Electron,0.12,0.88,0.0,0.0,0.0,0.0
8,2022_07_23_23_18_29,Electron,0.88,0.08,0.02,0.0,0.02,0.0
9,2022_07_23_23_18_30,Electron,0.9,0.07,0.02,0.0,0.01,0.0
10,2022_07_23_23_18_30,Electron,0.81,0.12,0.04,0.0,0.03,0.0
11,2022_07_23_23_18_30,Electron,0.5,0.45,0.02,0.0,0.03,0.0
12,2022_07_23_23_18_31,Electron,0.96,0.02,0.01,0.0,0.01,0.0
13,2022_07_23_23_18_31,Electron,0.91,0.03,0.03,0.0,0.03,0.0
14,2022_07_23_23_18_31,Electron,0.87,0.08,0.02,0.0,0.03,0.0
15,2022_07_23_23_18_32,Electron,0.08,0.0,0.33,0.22,0.37,0.0
16,2022_07_23_23_18_32,Electron,0.12,0.0,0.07,0.05,0.76,0.0
17,2022_07_23_23_18_32,Electron,0.07,0.0,0.05,0.02,0.86,0.0
